session_id,timestamp,valid_data,activation,scl_avg
63727700-2c39-11f1-8080-808080808080,1774876193,true,false,21.400711059570312
63727700-2c39-11f1-8080-808080808080,1774876198,true,false,21.442426681518555
63727700-2c39-11f1-8080-808080808080,1774876198,true,false,21.468151092529297
63727700-2c39-11f1-8080-808080808080,1774876198,true,false,21.49618911743164
63727700-2c39-11f1-8080-808080808080,1774876198,true,false,21.5257511138916
63727700-2c39-11f1-8080-808080808080,1774876198,true,false,21.5734806060791
63727700-2c39-11f1-8080-808080808080,1774876203,true,false,21.618709564208984
63727700-2c39-11f1-8080-808080808080,1774876203,true,false,21.66735076904297
63727700-2c39-11f1-8080-808080808080,1774876203,true,false,21.71674919128418
63727700-2c39-11f1-8080-808080808080,1774876203,true,false,21.768062591552734
63727700-2c39-11f1-8080-808080808080,1774876203,true,true,21.83419418334961
63727700-2c39-11f1-8080-808080808080,1774876208,true,false,21.888830184936523
63727700-2c39-11f1-8080-808080808080,1774876208,true,false,21.944242477416992
63727700-2c39-11f1-8080-808080808080,1774876208,true,false,21.998022079467773
63727700-2c39-11f1-8080-808080808080,1774876208,true,false,22.04981231689453
63727700-2c39-11f1-8080-808080808080,1774876208,true,true,22.11243438720703
63727700-2c39-11f1-8080-808080808080,1774876213,true,false,22.1588191986084
63727700-2c39-11f1-8080-808080808080,1774876213,true,false,22.199403762817383
63727700-2c39-11f1-8080-808080808080,1774876213,true,false,22.23423194885254
63727700-2c39-11f1-8080-808080808080,1774876213,true,true,22.267227172851562
63727700-2c39-11f1-8080-808080808080,1774876213,true,false,22.300628662109375
63727700-2c39-11f1-8080-808080808080,1774876218,true,false,22.323974609375
63727700-2c39-11f1-8080-808080808080,1774876218,true,false,22.341089248657227
63727700-2c39-11f1-8080-808080808080,1774876218,true,false,22.35417938232422
63727700-2c39-11f1-8080-808080808080,1774876218,true,false,22.366426467895508
63727700-2c39-11f1-8080-808080808080,1774876218,true,false,22.37396812438965
63727700-2c39-11f1-8080-808080808080,1774876223,true,false,22.374608993530273
63727700-2c39-11f1-8080-808080808080,1774876223,true,true,22.376358032226562
63727700-2c39-11f1-8080-808080808080,1774876223,true,false,22.381763458251953
63727700-2c39-11f1-8080-808080808080,1774876223,true,false,22.390207290649414
63727700-2c39-11f1-8080-808080808080,1774876223,true,false,22.390169143676758
63251a50-2c39-11f1-8080-808080808080,1774876041,false,false,0.0
63251a50-2c39-11f1-8080-808080808080,1774876041,false,false,0.0
63251a50-2c39-11f1-8080-808080808080,1774876041,false,false,0.0
