timestamp,distance,data source
2026-04-02T17:41:00Z,9.30,Charge 6
2026-04-02T17:42:00Z,5.00,Charge 6
2026-04-02T17:43:00Z,14.30,Charge 6
2026-04-02T17:44:00Z,25.80,Charge 6
2026-04-02T17:59:00Z,6.40,Charge 6
2026-04-02T18:13:00Z,15.00,Charge 6
2026-04-02T18:14:00Z,1.40,Charge 6
2026-04-02T18:15:00Z,8.60,Charge 6
2026-04-02T18:31:00Z,2.80,Charge 6
2026-04-02T18:33:00Z,20.10,Charge 6
2026-04-02T18:34:00Z,13.60,Charge 6
2026-04-02T18:44:00Z,7.10,Charge 6
2026-04-02T19:45:00Z,12.20,Charge 6
2026-04-02T20:05:00Z,18.60,Charge 6
2026-04-02T20:07:00Z,15.00,Charge 6
2026-04-02T20:08:00Z,5.00,Charge 6
2026-04-02T22:16:00Z,5.00,Charge 6
2026-04-03T00:46:00Z,10.70,Charge 6
2026-04-03T00:52:00Z,7.80,Charge 6
2026-04-03T01:12:00Z,4.30,Charge 6
2026-04-03T01:13:00Z,2.80,Charge 6
2026-04-03T01:16:00Z,2.80,Charge 6
2026-04-03T01:26:00Z,14.30,Charge 6
2026-04-03T01:43:00Z,6.40,Charge 6
2026-04-03T01:44:00Z,6.40,Charge 6
2026-04-03T01:52:00Z,9.30,Charge 6
2026-04-03T04:54:00Z,17.20,Charge 6
2026-04-03T04:55:00Z,25.80,Charge 6
2026-04-03T04:56:00Z,23.60,Charge 6
2026-04-03T04:57:00Z,6.40,Charge 6
2026-04-03T04:59:00Z,1.50,Charge 6
2026-04-03T05:00:00Z,22.50,Charge 6
2026-04-03T05:01:00Z,48.70,Charge 6
2026-04-03T05:02:00Z,77.60,Charge 6
2026-04-03T05:03:00Z,80.90,Charge 6
2026-04-03T05:04:00Z,80.00,Charge 6
2026-04-03T05:05:00Z,80.20,Charge 6
2026-04-03T05:06:00Z,83.70,Charge 6
2026-04-03T05:07:00Z,86.10,Charge 6
2026-04-03T05:08:00Z,86.60,Charge 6
2026-04-03T05:09:00Z,83.60,Charge 6
2026-04-03T05:10:00Z,71.00,Charge 6
2026-04-03T05:11:00Z,75.70,Charge 6
2026-04-03T05:12:00Z,76.50,Charge 6
2026-04-03T05:13:00Z,86.70,Charge 6
2026-04-03T05:14:00Z,145.80,Charge 6
2026-04-03T05:15:00Z,100.90,Charge 6
2026-04-03T05:16:00Z,83.40,Charge 6
2026-04-03T05:17:00Z,78.00,Charge 6
2026-04-03T05:18:00Z,75.50,Charge 6
2026-04-03T05:19:00Z,71.70,Charge 6
2026-04-03T05:20:00Z,64.50,Charge 6
2026-04-03T05:21:00Z,46.30,Charge 6
2026-04-03T05:22:00Z,33.30,Charge 6
2026-04-03T05:23:00Z,53.00,Charge 6
2026-04-03T05:24:00Z,72.20,Charge 6
2026-04-03T05:25:00Z,77.10,Charge 6
2026-04-03T05:26:00Z,74.60,Charge 6
2026-04-03T05:27:00Z,78.00,Charge 6
2026-04-03T05:28:00Z,143.10,Charge 6
2026-04-03T05:29:00Z,139.80,Charge 6
2026-04-03T05:30:00Z,9.70,Charge 6
2026-04-03T05:32:00Z,2.70,Charge 6
2026-04-03T05:33:00Z,0.50,Charge 6
2026-04-03T05:34:00Z,2.90,Charge 6
2026-04-03T05:36:00Z,3.10,Charge 6
2026-04-03T05:37:00Z,5.20,Charge 6
2026-04-03T05:38:00Z,6.10,Charge 6
2026-04-03T05:40:00Z,4.00,Charge 6
2026-04-03T05:41:00Z,9.70,Charge 6
2026-04-03T05:42:00Z,1.90,Charge 6
2026-04-03T05:46:00Z,2.10,Charge 6
2026-04-03T05:47:00Z,0.70,Charge 6
2026-04-03T05:49:00Z,2.00,Charge 6
2026-04-03T05:50:00Z,8.60,Charge 6
2026-04-03T05:51:00Z,32.30,Charge 6
2026-04-03T05:52:00Z,13.60,Charge 6
2026-04-03T06:13:00Z,17.20,Charge 6
2026-04-03T06:14:00Z,11.40,Charge 6
2026-04-03T06:16:00Z,6.40,Charge 6
2026-04-03T06:25:00Z,5.00,Charge 6
2026-04-03T06:40:00Z,4.30,Charge 6
2026-04-03T06:41:00Z,15.00,Charge 6
2026-04-03T06:42:00Z,15.00,Charge 6
2026-04-03T06:44:00Z,15.70,Charge 6
