timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2026-04-05T02:25:00Z,13.2,0.0,Fitbit App
2026-04-05T02:30:00Z,11.5,0.0,Fitbit App
2026-04-05T02:35:00Z,22.7,0.0,Fitbit App
2026-04-05T02:40:00Z,19.4,0.0,Fitbit App
2026-04-05T02:45:00Z,19.0,0.0,Fitbit App
2026-04-05T02:50:00Z,10.2,0.0,Fitbit App
2026-04-05T02:55:00Z,9.9,0.0,Fitbit App
2026-04-05T03:00:00Z,11.5,0.0,Fitbit App
2026-04-05T03:05:00Z,11.5,0.0,Fitbit App
2026-04-05T03:10:00Z,12.8,0.0,Fitbit App
2026-04-05T03:15:00Z,10.6,0.0,Fitbit App
2026-04-05T03:20:00Z,11.1,0.0,Fitbit App
2026-04-05T03:25:00Z,10.6,0.0,Fitbit App
2026-04-05T03:30:00Z,11.4,0.0,Fitbit App
2026-04-05T03:35:00Z,11.0,0.0,Fitbit App
2026-04-05T03:40:00Z,10.9,0.0,Fitbit App
2026-04-05T03:45:00Z,15.9,0.0,Fitbit App
2026-04-05T03:50:00Z,13.1,0.0,Fitbit App
2026-04-05T03:55:00Z,14.3,0.0,Fitbit App
2026-04-05T04:00:00Z,12.6,0.0,Fitbit App
2026-04-05T04:05:00Z,12.8,0.0,Fitbit App
2026-04-05T04:10:00Z,15.7,0.0,Fitbit App
2026-04-05T04:15:00Z,12.9,0.0,Fitbit App
2026-04-05T04:20:00Z,12.4,0.0,Fitbit App
2026-04-05T04:25:00Z,11.6,0.0,Fitbit App
2026-04-05T04:30:00Z,12.8,0.0,Fitbit App
2026-04-05T04:35:00Z,15.9,0.0,Fitbit App
2026-04-05T04:40:00Z,16.9,0.0,Fitbit App
2026-04-05T04:45:00Z,18.2,0.0,Fitbit App
2026-04-05T04:50:00Z,22.5,0.0,Fitbit App
2026-04-05T04:55:00Z,27.4,0.0,Fitbit App
2026-04-05T05:00:00Z,14.8,0.0,Fitbit App
2026-04-05T05:05:00Z,13.9,0.0,Fitbit App
2026-04-05T05:10:00Z,15.3,0.0,Fitbit App
2026-04-05T05:15:00Z,11.7,0.0,Fitbit App
2026-04-05T05:20:00Z,11.6,0.0,Fitbit App
2026-04-05T05:25:00Z,11.7,0.0,Fitbit App
2026-04-05T05:30:00Z,19.9,0.0,Fitbit App
2026-04-05T05:35:00Z,23.9,0.0,Fitbit App
2026-04-05T05:40:00Z,24.3,0.0,Fitbit App
2026-04-05T05:45:00Z,19.4,0.0,Fitbit App
2026-04-05T05:50:00Z,17.8,0.0,Fitbit App
2026-04-05T05:55:00Z,18.1,0.0,Fitbit App
2026-04-05T22:05:00Z,43.3,0.0,Fitbit App
2026-04-05T22:10:00Z,9.2,0.0,Fitbit App
2026-04-05T22:15:00Z,9.1,0.0,Fitbit App
2026-04-05T22:20:00Z,13.3,0.0,Fitbit App
2026-04-05T22:25:00Z,11.1,0.0,Fitbit App
2026-04-05T22:30:00Z,11.4,0.0,Fitbit App
2026-04-05T22:35:00Z,10.9,0.0,Fitbit App
2026-04-05T22:40:00Z,16.7,0.0,Fitbit App
2026-04-05T23:00:00Z,18.1,0.0,Fitbit App
2026-04-05T23:05:00Z,12.8,0.0,Fitbit App
2026-04-05T23:10:00Z,10.3,0.0,Fitbit App
2026-04-05T23:15:00Z,11.7,0.0,Fitbit App
2026-04-05T23:20:00Z,11.4,0.0,Fitbit App
2026-04-05T23:25:00Z,10.6,0.0,Fitbit App
2026-04-05T23:35:00Z,15.2,0.0,Fitbit App
2026-04-05T23:40:00Z,12.3,0.0,Fitbit App
2026-04-05T23:45:00Z,12.5,0.0,Fitbit App
2026-04-05T23:50:00Z,12.5,0.0,Fitbit App
2026-04-05T23:55:00Z,11.1,0.0,Fitbit App
2026-04-06T00:00:00Z,8.6,0.0,Fitbit App
2026-04-06T00:20:00Z,15.4,0.0,Fitbit App
2026-04-06T00:25:00Z,17.1,0.0,Fitbit App
2026-04-06T00:30:00Z,19.0,0.0,Fitbit App
2026-04-06T00:35:00Z,14.7,0.0,Fitbit App
2026-04-06T00:40:00Z,12.6,0.0,Fitbit App
2026-04-06T00:45:00Z,11.5,0.0,Fitbit App
2026-04-06T00:50:00Z,11.4,0.0,Fitbit App
2026-04-06T00:55:00Z,12.4,0.0,Fitbit App
2026-04-06T01:00:00Z,10.8,0.0,Fitbit App
2026-04-06T01:05:00Z,12.8,0.0,Fitbit App
2026-04-06T01:10:00Z,11.2,0.0,Fitbit App
2026-04-06T01:15:00Z,15.1,0.0,Fitbit App
2026-04-06T01:20:00Z,15.0,0.0,Fitbit App
2026-04-06T01:25:00Z,13.5,0.0,Fitbit App
2026-04-06T01:30:00Z,12.4,0.0,Fitbit App
2026-04-06T01:35:00Z,17.8,0.0,Fitbit App
2026-04-06T01:40:00Z,11.6,0.0,Fitbit App
2026-04-06T01:45:00Z,10.4,0.0,Fitbit App
2026-04-06T01:50:00Z,19.6,0.0,Fitbit App
2026-04-06T01:55:00Z,19.1,0.0,Fitbit App
2026-04-06T02:00:00Z,9.7,0.0,Fitbit App
2026-04-06T02:05:00Z,10.6,0.0,Fitbit App
2026-04-06T02:10:00Z,11.8,0.0,Fitbit App
2026-04-06T02:15:00Z,13.4,0.0,Fitbit App
2026-04-06T02:20:00Z,12.7,0.0,Fitbit App
2026-04-06T02:25:00Z,11.6,0.0,Fitbit App
2026-04-06T02:30:00Z,12.3,0.0,Fitbit App
2026-04-06T02:35:00Z,13.4,0.0,Fitbit App
2026-04-06T02:40:00Z,13.6,0.0,Fitbit App
2026-04-06T02:45:00Z,17.9,0.0,Fitbit App
2026-04-06T02:50:00Z,11.1,0.0,Fitbit App
2026-04-06T02:55:00Z,11.5,0.0,Fitbit App
2026-04-06T03:00:00Z,16.1,0.0,Fitbit App
2026-04-06T03:05:00Z,11.4,0.0,Fitbit App
2026-04-06T03:10:00Z,19.2,0.0,Fitbit App
2026-04-06T03:15:00Z,22.5,0.0,Fitbit App
2026-04-06T03:20:00Z,19.9,0.0,Fitbit App
2026-04-06T03:25:00Z,17.7,0.0,Fitbit App
2026-04-06T03:30:00Z,15.8,0.0,Fitbit App
2026-04-06T03:35:00Z,12.1,0.0,Fitbit App
2026-04-06T03:40:00Z,11.8,0.0,Fitbit App
2026-04-06T03:45:00Z,18.4,0.0,Fitbit App
2026-04-06T03:50:00Z,15.5,0.0,Fitbit App
2026-04-06T03:55:00Z,15.6,0.0,Fitbit App
2026-04-06T04:00:00Z,12.8,0.0,Fitbit App
2026-04-06T04:05:00Z,14.3,0.0,Fitbit App
2026-04-06T04:10:00Z,10.9,0.0,Fitbit App
2026-04-06T04:15:00Z,12.4,0.0,Fitbit App
