timestamp,beats per minute,data source
2026-04-08T00:10:07Z,56.0,Charge 6
2026-04-08T00:10:09Z,56.0,Charge 6
2026-04-08T00:10:12Z,56.0,Charge 6
2026-04-08T00:10:14Z,57.0,Charge 6
2026-04-08T00:10:17Z,57.0,Charge 6
2026-04-08T00:10:20Z,57.0,Charge 6
2026-04-08T00:10:23Z,57.0,Charge 6
2026-04-08T00:10:26Z,56.0,Charge 6
2026-04-08T00:10:29Z,56.0,Charge 6
2026-04-08T00:10:32Z,57.0,Charge 6
2026-04-08T00:10:35Z,57.0,Charge 6
2026-04-08T00:10:38Z,57.0,Charge 6
2026-04-08T00:10:39Z,56.0,Charge 6
2026-04-08T00:10:42Z,56.0,Charge 6
2026-04-08T00:10:45Z,56.0,Charge 6
2026-04-08T00:10:48Z,56.0,Charge 6
2026-04-08T00:10:51Z,56.0,Charge 6
2026-04-08T00:10:54Z,56.0,Charge 6
2026-04-08T00:10:57Z,56.0,Charge 6
2026-04-08T00:11:00Z,57.0,Charge 6
2026-04-08T00:11:02Z,58.0,Charge 6
2026-04-08T00:11:05Z,58.0,Charge 6
2026-04-08T00:11:06Z,59.0,Charge 6
2026-04-08T00:11:08Z,60.0,Charge 6
2026-04-08T00:11:11Z,60.0,Charge 6
2026-04-08T00:11:14Z,60.0,Charge 6
2026-04-08T00:11:16Z,59.0,Charge 6
2026-04-08T00:11:19Z,59.0,Charge 6
2026-04-08T00:11:20Z,58.0,Charge 6
2026-04-08T00:11:23Z,58.0,Charge 6
2026-04-08T00:11:26Z,58.0,Charge 6
2026-04-08T00:11:27Z,56.0,Charge 6
2026-04-08T00:11:30Z,56.0,Charge 6
2026-04-08T00:11:33Z,56.0,Charge 6
2026-04-08T00:11:36Z,56.0,Charge 6
2026-04-08T00:11:39Z,56.0,Charge 6
2026-04-08T00:11:41Z,55.0,Charge 6
2026-04-08T00:11:43Z,56.0,Charge 6
2026-04-08T00:11:46Z,56.0,Charge 6
2026-04-08T00:11:49Z,56.0,Charge 6
2026-04-08T00:11:52Z,56.0,Charge 6
2026-04-08T00:11:54Z,58.0,Charge 6
2026-04-08T00:11:57Z,58.0,Charge 6
2026-04-08T00:12:00Z,58.0,Charge 6
2026-04-08T00:12:03Z,58.0,Charge 6
2026-04-08T00:12:06Z,58.0,Charge 6
2026-04-08T00:12:08Z,57.0,Charge 6
2026-04-08T00:12:11Z,57.0,Charge 6
2026-04-08T00:12:12Z,56.0,Charge 6
2026-04-08T00:12:15Z,56.0,Charge 6
2026-04-08T00:12:18Z,56.0,Charge 6
2026-04-08T00:12:19Z,57.0,Charge 6
2026-04-08T00:12:21Z,58.0,Charge 6
2026-04-08T00:12:24Z,58.0,Charge 6
2026-04-08T00:12:25Z,57.0,Charge 6
2026-04-08T00:12:27Z,57.0,Charge 6
2026-04-08T00:12:29Z,56.0,Charge 6
2026-04-08T00:12:32Z,56.0,Charge 6
2026-04-08T00:12:35Z,56.0,Charge 6
2026-04-08T00:12:38Z,56.0,Charge 6
2026-04-08T00:12:41Z,56.0,Charge 6
2026-04-08T00:12:42Z,57.0,Charge 6
2026-04-08T00:12:45Z,57.0,Charge 6
2026-04-08T00:12:46Z,58.0,Charge 6
2026-04-08T00:12:49Z,58.0,Charge 6
2026-04-08T00:12:52Z,58.0,Charge 6
2026-04-08T00:12:55Z,58.0,Charge 6
2026-04-08T00:12:58Z,57.0,Charge 6
2026-04-08T00:13:01Z,56.0,Charge 6
2026-04-08T00:13:04Z,56.0,Charge 6
2026-04-08T00:13:07Z,56.0,Charge 6
2026-04-08T00:13:10Z,56.0,Charge 6
2026-04-08T00:13:13Z,56.0,Charge 6
2026-04-08T00:13:16Z,56.0,Charge 6
2026-04-08T00:13:19Z,56.0,Charge 6
2026-04-08T00:13:22Z,56.0,Charge 6
2026-04-08T00:13:25Z,56.0,Charge 6
2026-04-08T00:13:28Z,56.0,Charge 6
2026-04-08T00:13:30Z,57.0,Charge 6
2026-04-08T00:13:33Z,57.0,Charge 6
2026-04-08T00:13:36Z,57.0,Charge 6
2026-04-08T00:13:38Z,58.0,Charge 6
2026-04-08T00:13:40Z,57.0,Charge 6
2026-04-08T00:13:43Z,57.0,Charge 6
2026-04-08T00:13:46Z,56.0,Charge 6
2026-04-08T00:13:49Z,56.0,Charge 6
2026-04-08T00:13:52Z,56.0,Charge 6
2026-04-08T00:13:55Z,56.0,Charge 6
2026-04-08T00:13:58Z,56.0,Charge 6
2026-04-08T00:14:01Z,56.0,Charge 6
2026-04-08T00:14:04Z,56.0,Charge 6
2026-04-08T00:14:07Z,56.0,Charge 6
2026-04-08T00:14:10Z,56.0,Charge 6
2026-04-08T00:14:13Z,56.0,Charge 6
2026-04-08T00:14:16Z,57.0,Charge 6
2026-04-08T00:14:18Z,58.0,Charge 6
2026-04-08T00:14:21Z,58.0,Charge 6
2026-04-08T00:14:24Z,58.0,Charge 6
2026-04-08T00:14:27Z,58.0,Charge 6
2026-04-08T00:14:28Z,57.0,Charge 6
2026-04-08T00:14:31Z,57.0,Charge 6
2026-04-08T00:14:34Z,57.0,Charge 6
2026-04-08T00:14:36Z,56.0,Charge 6
2026-04-08T00:14:39Z,56.0,Charge 6
2026-04-08T00:14:42Z,56.0,Charge 6
2026-04-08T00:14:45Z,56.0,Charge 6
2026-04-08T00:14:48Z,56.0,Charge 6
2026-04-08T00:14:51Z,56.0,Charge 6
2026-04-08T00:14:54Z,56.0,Charge 6
2026-04-08T00:14:55Z,56.0,Charge 6
2026-04-08T00:14:58Z,56.0,Charge 6
2026-04-08T00:14:59Z,55.0,Charge 6
2026-04-08T00:15:02Z,55.0,Charge 6
2026-04-08T00:15:05Z,55.0,Charge 6
2026-04-08T00:15:08Z,55.0,Charge 6
2026-04-08T00:15:11Z,55.0,Charge 6
2026-04-08T00:15:14Z,56.0,Charge 6
2026-04-08T00:15:17Z,56.0,Charge 6
2026-04-08T00:15:20Z,56.0,Charge 6
2026-04-08T00:15:23Z,56.0,Charge 6
2026-04-08T00:15:26Z,56.0,Charge 6
2026-04-08T00:15:29Z,56.0,Charge 6
2026-04-08T00:15:32Z,56.0,Charge 6
2026-04-08T00:15:35Z,56.0,Charge 6
2026-04-08T00:15:38Z,56.0,Charge 6
2026-04-08T00:15:41Z,56.0,Charge 6
2026-04-08T00:15:44Z,56.0,Charge 6
2026-04-08T00:15:47Z,56.0,Charge 6
2026-04-08T00:15:50Z,56.0,Charge 6
2026-04-08T00:15:53Z,56.0,Charge 6
2026-04-08T00:15:56Z,56.0,Charge 6
2026-04-08T00:15:59Z,56.0,Charge 6
2026-04-08T00:16:02Z,57.0,Charge 6
2026-04-08T00:16:04Z,56.0,Charge 6
2026-04-08T00:16:07Z,56.0,Charge 6
2026-04-08T00:16:10Z,56.0,Charge 6
2026-04-08T00:16:12Z,56.0,Charge 6
2026-04-08T00:16:15Z,56.0,Charge 6
2026-04-08T00:16:18Z,56.0,Charge 6
2026-04-08T00:16:21Z,56.0,Charge 6
2026-04-08T00:16:24Z,56.0,Charge 6
2026-04-08T00:16:27Z,56.0,Charge 6
2026-04-08T00:16:30Z,56.0,Charge 6
2026-04-08T00:16:33Z,56.0,Charge 6
2026-04-08T00:16:36Z,56.0,Charge 6
2026-04-08T00:16:39Z,56.0,Charge 6
2026-04-08T00:16:42Z,56.0,Charge 6
2026-04-08T00:16:45Z,56.0,Charge 6
2026-04-08T00:16:48Z,56.0,Charge 6
2026-04-08T00:16:51Z,56.0,Charge 6
2026-04-08T00:16:54Z,56.0,Charge 6
2026-04-08T00:16:57Z,56.0,Charge 6
2026-04-08T00:17:00Z,56.0,Charge 6
2026-04-08T00:17:03Z,56.0,Charge 6
2026-04-08T00:17:06Z,56.0,Charge 6
2026-04-08T00:17:09Z,56.0,Charge 6
2026-04-08T00:17:12Z,56.0,Charge 6
2026-04-08T00:17:15Z,56.0,Charge 6
2026-04-08T00:17:18Z,56.0,Charge 6
2026-04-08T00:17:21Z,56.0,Charge 6
2026-04-08T00:17:24Z,56.0,Charge 6
