timestamp,temperature celsius,data source
2026-04-13T04:51:00Z,28.1,Charge 6
2026-04-13T04:52:00Z,28.4,Charge 6
2026-04-13T04:53:00Z,28.2,Charge 6
2026-04-13T04:54:00Z,28.3,Charge 6
2026-04-13T04:55:00Z,28.3,Charge 6
2026-04-13T04:56:00Z,28.3,Charge 6
2026-04-13T04:57:00Z,28.4,Charge 6
2026-04-13T04:58:00Z,28.3,Charge 6
2026-04-13T04:59:00Z,28.4,Charge 6
2026-04-13T05:00:00Z,28.5,Charge 6
2026-04-13T05:01:00Z,28.5,Charge 6
2026-04-13T05:02:00Z,28.3,Charge 6
2026-04-13T05:03:00Z,28.3,Charge 6
2026-04-13T05:04:00Z,28.3,Charge 6
2026-04-13T05:05:00Z,28.3,Charge 6
2026-04-13T05:06:00Z,28.4,Charge 6
2026-04-13T05:07:00Z,28.4,Charge 6
2026-04-13T05:08:00Z,28.5,Charge 6
2026-04-13T05:09:00Z,28.6,Charge 6
2026-04-13T05:10:00Z,28.6,Charge 6
2026-04-13T05:11:00Z,28.5,Charge 6
2026-04-13T05:12:00Z,28.5,Charge 6
2026-04-13T05:13:00Z,28.6,Charge 6
2026-04-13T05:14:00Z,28.7,Charge 6
2026-04-13T05:15:00Z,28.8,Charge 6
2026-04-13T05:16:00Z,29.0,Charge 6
2026-04-13T05:17:00Z,29.2,Charge 6
2026-04-13T05:18:00Z,29.4,Charge 6
2026-04-13T05:19:00Z,29.7,Charge 6
2026-04-13T05:20:00Z,30.0,Charge 6
2026-04-13T05:21:00Z,30.2,Charge 6
2026-04-13T05:22:00Z,30.4,Charge 6
2026-04-13T05:23:00Z,30.5,Charge 6
2026-04-13T05:24:00Z,30.6,Charge 6
2026-04-13T05:25:00Z,30.5,Charge 6
2026-04-13T05:26:00Z,30.4,Charge 6
2026-04-13T05:27:00Z,30.5,Charge 6
2026-04-13T05:28:00Z,30.6,Charge 6
2026-04-13T05:29:00Z,30.6,Charge 6
2026-04-13T05:30:00Z,30.5,Charge 6
2026-04-13T05:31:00Z,30.6,Charge 6
2026-04-13T05:32:00Z,30.6,Charge 6
2026-04-13T05:33:00Z,29.0,Charge 6
2026-04-13T05:34:00Z,27.9,Charge 6
2026-04-13T05:35:00Z,27.2,Charge 6
2026-04-13T05:36:00Z,26.6,Charge 6
2026-04-13T05:37:00Z,26.2,Charge 6
2026-04-13T05:38:00Z,25.8,Charge 6
2026-04-13T05:39:00Z,25.5,Charge 6
2026-04-13T05:40:00Z,27.9,Charge 6
2026-04-13T05:41:00Z,28.6,Charge 6
2026-04-13T05:42:00Z,28.9,Charge 6
2026-04-13T05:43:00Z,29.3,Charge 6
2026-04-13T05:44:00Z,29.6,Charge 6
2026-04-13T05:45:00Z,29.8,Charge 6
2026-04-13T05:46:00Z,29.9,Charge 6
2026-04-13T05:47:00Z,30.2,Charge 6
2026-04-13T05:48:00Z,30.4,Charge 6
2026-04-13T05:49:00Z,30.6,Charge 6
2026-04-13T05:50:00Z,30.7,Charge 6
2026-04-13T05:51:00Z,30.8,Charge 6
2026-04-13T05:52:00Z,31.0,Charge 6
2026-04-13T05:53:00Z,31.0,Charge 6
2026-04-13T05:54:00Z,31.1,Charge 6
2026-04-13T05:55:00Z,31.2,Charge 6
2026-04-13T05:56:00Z,31.3,Charge 6
2026-04-13T05:57:00Z,31.3,Charge 6
2026-04-13T05:58:00Z,31.3,Charge 6
2026-04-13T05:59:00Z,31.4,Charge 6
2026-04-13T06:00:00Z,31.4,Charge 6
2026-04-13T06:01:00Z,31.5,Charge 6
2026-04-13T06:02:00Z,31.6,Charge 6
2026-04-13T06:03:00Z,31.7,Charge 6
2026-04-13T06:04:00Z,31.7,Charge 6
2026-04-13T06:05:00Z,31.7,Charge 6
2026-04-13T06:06:00Z,31.7,Charge 6
2026-04-13T06:07:00Z,31.7,Charge 6
2026-04-13T06:08:00Z,31.6,Charge 6
2026-04-13T06:09:00Z,31.6,Charge 6
2026-04-13T06:10:00Z,31.6,Charge 6
2026-04-13T06:11:00Z,31.6,Charge 6
2026-04-13T06:12:00Z,31.6,Charge 6
2026-04-13T06:13:00Z,31.6,Charge 6
2026-04-13T06:14:00Z,31.6,Charge 6
2026-04-13T06:15:00Z,31.6,Charge 6
2026-04-13T06:16:00Z,31.6,Charge 6
2026-04-13T06:17:00Z,31.6,Charge 6
2026-04-13T06:18:00Z,31.6,Charge 6
2026-04-13T06:19:00Z,31.6,Charge 6
2026-04-13T06:20:00Z,31.6,Charge 6
2026-04-13T06:21:00Z,31.5,Charge 6
2026-04-13T06:22:00Z,31.2,Charge 6
2026-04-13T06:23:00Z,31.2,Charge 6
2026-04-13T06:24:00Z,31.1,Charge 6
2026-04-13T06:25:00Z,31.1,Charge 6
2026-04-13T06:26:00Z,31.1,Charge 6
