timestamp,steps,data source
2026-03-27T14:38:00Z,57,Charge 6
2026-03-27T14:39:00Z,8,Charge 6
2026-03-27T14:40:00Z,13,Charge 6
2026-03-27T14:41:00Z,46,Charge 6
2026-03-27T14:42:00Z,35,Charge 6
2026-03-27T14:43:00Z,24,Charge 6
2026-03-27T14:44:00Z,27,Charge 6
2026-03-27T14:45:00Z,46,Charge 6
2026-03-27T14:47:00Z,28,Charge 6
2026-03-27T14:49:00Z,7,Charge 6
2026-03-27T14:50:00Z,22,Charge 6
2026-03-27T14:51:00Z,22,Charge 6
2026-03-27T14:52:00Z,15,Charge 6
2026-03-27T15:07:00Z,6,Charge 6
2026-03-27T15:16:00Z,8,Charge 6
2026-03-27T15:17:00Z,12,Charge 6
2026-03-27T15:20:00Z,14,Charge 6
2026-03-27T15:22:00Z,28,Charge 6
2026-03-27T15:24:00Z,6,Charge 6
2026-03-27T15:27:00Z,24,Charge 6
2026-03-27T15:28:00Z,8,Charge 6
2026-03-27T15:31:00Z,8,Charge 6
2026-03-27T15:32:00Z,5,Charge 6
2026-03-27T15:33:00Z,33,Charge 6
2026-03-27T15:34:00Z,20,Charge 6
2026-03-27T15:35:00Z,9,Charge 6
2026-03-27T15:41:00Z,6,Charge 6
2026-03-27T15:42:00Z,1,Charge 6
2026-03-27T15:43:00Z,22,Charge 6
2026-03-27T15:45:00Z,10,Charge 6
2026-03-27T15:49:00Z,6,Charge 6
2026-03-27T15:50:00Z,5,Charge 6
2026-03-27T15:57:00Z,14,Charge 6
2026-03-27T16:10:00Z,11,Charge 6
2026-03-27T18:05:00Z,11,Charge 6
2026-03-27T18:07:00Z,8,Charge 6
2026-03-27T18:08:00Z,8,Charge 6
2026-03-27T18:28:00Z,8,Charge 6
2026-03-27T18:29:00Z,14,Charge 6
2026-03-27T18:31:00Z,15,Charge 6
2026-03-27T18:37:00Z,15,Charge 6
2026-03-27T18:38:00Z,24,Charge 6
2026-03-27T18:39:00Z,42,Charge 6
2026-03-27T18:40:00Z,54,Charge 6
2026-03-27T18:41:00Z,10,Charge 6
2026-03-27T18:44:00Z,25,Charge 6
2026-03-27T19:59:00Z,16,Charge 6
2026-03-27T20:34:00Z,15,Charge 6
2026-03-27T20:36:00Z,22,Charge 6
2026-03-27T20:37:00Z,31,Charge 6
2026-03-27T20:44:00Z,10,Charge 6
2026-03-27T21:18:00Z,23,Charge 6
2026-03-27T21:28:00Z,7,Charge 6
2026-03-27T22:23:00Z,20,Charge 6
2026-03-27T22:25:00Z,20,Charge 6
2026-03-27T22:26:00Z,8,Charge 6
2026-03-27T22:27:00Z,12,Charge 6
2026-03-27T22:54:00Z,26,Charge 6
2026-03-28T06:33:00Z,46,Charge 6
2026-03-28T06:39:00Z,7,Charge 6
2026-03-28T06:46:00Z,21,Charge 6
2026-03-28T07:10:00Z,4,Charge 6
2026-03-28T07:12:00Z,20,Charge 6
2026-03-28T07:13:00Z,7,Charge 6
2026-03-28T07:18:00Z,85,Charge 6
2026-03-28T07:19:00Z,100,Charge 6
